Category,Tournament,Pos,Team,Player,Matches,Inns,Overs,Balls,Wkts,Avg,Runs,4-Fers,5-Fers,RunsScored,SR,4s,6s,Rating,CareerBestRating
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Ishan Kishan,10,10,,,517,57.44,,51,33,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Ankit Kumar,11,11,,,448,44.8,,49,22,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Kumar Kushagra,10,10,,,422,60.29,,34,22,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Yashvardhan Dalal,11,10,,,398,49.75,,32,19,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Ajinkya Rahane,10,9,,,391,55.86,,37,16,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Virat Singh,11,11,,,382,42.44,,30,22,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Salil Arora,8,8,,,358,71.6,,23,28,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Kunal Chandela,7,7,,,350,50,,36,14,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Anmolpreet Singh,10,10,,,349,34.9,,30,21,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Harpreet Singh Bhatia,10,10,,,334,41.75,,39,6,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Sarfaraz Khan,7,7,,,329,65.8,,37,19,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Ayush Mhatre,6,6,,,325,108.33,,20,25,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Tanmay Agarwal,10,10,,,320,35.56,,35,16,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Smaran Ravichandran,7,7,,,319,63.8,,19,18,,,,,
TournamentBatting,Syed Mushtaq Ali Trophy Elite 2025,,,,Devdutt Padikkal,6,6,,,309,61.8,,36,12,,,,,
TournamentBatting,Indian Premier League 2025,,,,Sai Sudharsan,15,15,,,759,54.21,,88,21,,,,,
TournamentBatting,Indian Premier League 2025,,,,Suryakumar Yadav,16,16,,,717,65.18,,69,38,,,,,
TournamentBatting,Indian Premier League 2025,,,,Virat Kohli,15,15,,,657,54.75,,66,19,,,,,
TournamentBatting,Indian Premier League 2025,,,,Shubman Gill,15,15,,,650,50,,62,24,,,,,
TournamentBatting,Indian Premier League 2025,,,,Mitchell Marsh,13,13,,,627,48.23,,56,37,,,,,
TournamentBatting,Indian Premier League 2025,,,,Shreyas Iyer,17,17,,,604,50.33,,43,39,,,,,
TournamentBatting,Indian Premier League 2025,,,,Yashasvi Jaiswal,14,14,,,559,43,,60,28,,,,,
TournamentBatting,Indian Premier League 2025,,,,Prabhsimran Singh,17,17,,,549,32.29,,56,30,,,,,
TournamentBatting,Indian Premier League 2025,,,,KL Rahul,13,13,,,539,53.9,,52,21,,,,,
TournamentBatting,Indian Premier League 2025,,,,Jos Buttler,14,13,,,538,59.78,,52,24,,,,,
TournamentBatting,Indian Premier League 2025,,,,Nicholas Pooran,14,14,,,524,43.67,,45,40,,,,,
TournamentBatting,Indian Premier League 2025,,,,Heinrich Klaasen,14,13,,,487,44.27,,42,25,,,,,
TournamentBatting,Indian Premier League 2025,,,,Priyansh Arya,17,17,,,475,27.94,,55,25,,,,,
TournamentBatting,Indian Premier League 2025,,,,Aiden Markram,13,13,,,445,34.23,,38,22,,,,,
TournamentBatting,Indian Premier League 2025,,,,Abhishek Sharma,14,13,,,439,33.77,,46,28,,,,,
TournamentBatting,Big Bash League 2025-26,,,,Sam Harper,6,5,,,251,83.67,,25,10,,,,,
TournamentBatting,Big Bash League 2025-26,,,,Matt Renshaw,7,7,,,245,35,,18,14,,,,,
TournamentBatting,Big Bash League 2025-26,,,,David Warner,6,6,,,241,60.25,,19,13,,,,,
TournamentBatting,Big Bash League 2025-26,,,,Nikhil Chaudhary,7,7,,,240,40,,18,13,,,,,
TournamentBatting,Big Bash League 2025-26,,,,Aaron Hardie,7,7,,,220,36.67,,20,9,,,,,
